accession	Domain	Phylum	Class	Order	Family	Genus	Species
RS_GCF_000875775.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosopumilus	s__Nitrosopumilus piranensis
RS_GCF_001484195.1	d__Archaea	p__Methanobacteriota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus celericrescens
RS_GCF_001577775.1	d__Archaea	p__Methanobacteriota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	s__Pyrococcus kukulkanii
RS_GCF_002078355.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__Ferroplasma	s__Ferroplasma acidiphilum
RS_GCF_002114285.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum ezzemoulense
RS_GCF_003605635.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halonotius	s__Halonotius pteroides
RS_GCF_003841465.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrarchaeobius	s__Natrarchaeobius chitinivorans_A
RS_GCF_009762275.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloplanus	s__Haloplanus rallus
RS_GCF_013391085.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Natronomonas	s__Natronomonas sp013391085
RS_GCF_900100875.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halopelagius	s__Halopelagius longus
RS_GCF_900108505.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halopenitus	s__Halopenitus malekzadehii
RS_GCF_900111485.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema hispanicum_A
RS_GCF_900114435.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicrobium	s__Halomicrobium zhouii
RS_GCF_900182635.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum cibi
RS_GCF_902812495.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__UBA183	g__CADDZR01	s__CADDZR01 sp902812495
GB_GCA_000389735.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Sulfolobaceae	g__Acd1	s__Acd1 sp000389735
GB_GCA_001412355.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanomicrobiaceae	g__LKUD01	s__LKUD01 sp001412355
GB_GCA_002010195.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Archaeoglobus_A	s__Archaeoglobus_A sp002010195
GB_GCA_002011035.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B25	f__B25	g__JdFR-11	s__JdFR-11 sp002011035
GB_GCA_003491305.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium	s__Methanobacterium sp003491305
GB_GCA_004348015.1	d__Archaea	p__Thermoproteota	c__Methanomethylicia	o__Methanomethylicales	f__Methanomethylicaceae	g__WYZ-LMO11	s__WYZ-LMO11 sp004348015
GB_GCA_011364585.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B26-1	f__UBA233	g__DRVP01	s__DRVP01 sp011364585
GB_GCA_011366545.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Ignisphaeraceae	g__Ignisphaera	s__Ignisphaera aggregans_B
GB_GCA_011367225.1	d__Archaea	p__Hadarchaeota	c__Hadarchaeia	o__Hadarchaeales	f__DTKF01	g__DTKF01	s__DTKF01 sp011367225
GB_GCA_011369595.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B24	f__B24	g__DTBU01	s__DTBU01 sp011369595
GB_GCA_011373445.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B26-1	f__UBA233	g__DRVV01	s__DRVV01 sp011373445
GB_GCA_012729095.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__UBA472	g__UBA472	s__UBA472 sp012729095
GB_GCA_013538805.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosocaldaceae	g__Nitrosocaldus	s__Nitrosocaldus sp013538805
GB_GCA_902386135.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanoperedenaceae	g__Methanoperedens	s__Methanoperedens sp902386135
RS_GCF_000008665.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Archaeoglobus	s__Archaeoglobus fulgidus
RS_GCF_000016385.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculum arsenaticum
RS_GCF_000017625.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoregulaceae	g__Methanoregula	s__Methanoregula boonei
